"","replicate","BSMreplicate","nodeStart","nodeEnd","nodeEndLabel","ageStart","ageEnd","rangeAncestor","rangeStart","rangeEnd","transitionCladog","transitionCladogType","transitionAnag","transitionAnagType","transitionTime","nodeOfInterest","BGBeventTypeClado","BGBeventTypeAnag"
"2860",2,3,224,100,"Cacajao_hosomi",1.25,0,"ADI","DI","D","ADI -> DI","allopatry","DI -> D","extinction","0.22","","","e"
"2861",2,3,224,101,"Cacajao_melanocephalus",1.25,0,"ADI","A","A","ADI -> A","allopatry","–","–","–","","",""
"2862",2,3,223,102,"Cacajao_calvus",2.36,0,"ADI","A","A","ADI -> A","subset_sympatry","–","–","–","","",""
"2863",2,3,225,103,"Chiropotes_chiropotes",2.2,0,"D","D","D","D -> D","in_situ_speciation","–","–","–","","",""
"2864",2,3,225,104,"Chiropotes_utahicki",2.2,0,"D","D","D","D -> D","in_situ_speciation","–","–","–","","",""
"2865",2,3,227,105,"Pithecia_irrorata",0.19,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"2866",2,3,227,106,"Pithecia_monachus",0.19,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"2867",2,3,226,107,"Pithecia_pithecia",5.35,0,"AD","D","D","AD -> D","allopatry","–","–","–","","",""
"2868",2,3,228,108,"Soriacebus_ameghinorum",17.55,17,"I","I","I","I -> I","in_situ_speciation","–","–","–","","",""
"2869",2,3,228,109,"Proteropithecia_neuquenensis",17.55,15.7,"I","I","I","I -> I","in_situ_speciation","–","–","–","","",""
"2870",2,3,229,110,"Cebupithecia_sarmientoi",16.62,12.5,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"2871",2,3,229,111,"Nuciruptor_rubricae",16.62,12.5,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"2872",2,3,218,112,"Mazzonicebus_almendrae",21,20,"AI","I","I","AI -> I","subset_sympatry","–","–","–","","",""
"2873",2,3,231,113,"Canaanimico_amazonensis",26.56,26.46,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"2874",2,3,231,114,"Szalatavus_attricuspis",26.56,26.42,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"2875",2,3,230,115,"Branisella_boliviana",27.15,26.42,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"2876",2,3,117,116,"Perupithecus_ucayaliensis",39.33,37.5,"AI","A","A","AI -> A","subset_sympatry","–","–","–","","",""
"2877",2,3,117,118,"inNode118",39.33,28.25,"AI","AI","AI","AI -> AI","subset_sympatry","–","–","–","","subset (s)",""
"2878",2,3,118,119,"inNode119",28.25,27.32,"AI","AI","AI","AI -> AI","subset_sympatry","–","–","–","","subset (s)",""
"2879",2,3,119,120,"inNode120",27.32,26.69,"AI","AI","AI","AI -> AI","subset_sympatry","–","–","–","","subset (s)",""
"2880",2,3,120,121,"inNode121",26.69,26.39,"AI","AI","AI","AI -> AI","subset_sympatry","–","–","–","","subset (s)",""
"2881",2,3,121,122,"inNode122",26.39,23.39,"AI","I","AI","AI -> I","subset_sympatry","I -> AI","dispersal","26.38","","subset (s)","d"
"2882",2,3,122,123,"inNode123",23.39,22,"AI","A","A","AI -> A","subset_sympatry","–","–","–","","sympatry (y)",""
"2883",2,3,123,124,"inNode124",22,17.27,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"2884",2,3,124,125,"inNode125",17.27,15.9,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"2885",2,3,125,126,"inNode126",15.9,13.99,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
